well_nm,well_ta_id,api_cd_10,compl_style,stim_start_dt,stim_end_dt,vintage,field_nm,geologic_location,target_formation,vendor,eff_treated_lateral_length,stage_count,avg_slurry_rate,max_slurry_rate,treat_pressure_max,treat_pressure_avg,total_proppant,mid_point_tvd_avg,total_co2_vol,mid_point_latitude_avg,mid_point_longitude_avg,open_well_head_pressure_avg,pump_time_stg,avg_clusters_stg,stg_sp,frac_csg,total_clean_vol,total_slurry_vol,gal_ftl,lb_ft,lb_clusters,bbls_clusters,slurry_rate_clusters,perc_100m,perc_sw,perc_gel,avg_acid_bbl_stg,stg1_owhp_gradient,fresh_bbl,prod_bbl,Date 120 Cum,Oil 120 Cum,Water 120 Cum,Gas 120 Cum,Gas BOE 120 Cum,HydroCarb 120 Cum,Date 120 Upday Cum,Oil 120 Upday Cum,Water 120 Upday Cum,Gas 120 Upday Cum,Gas BOE 120 Upday Cum,HydroCarb 120 Upday Cum,sap_cost,engineer_est_cost,field_est_cost,cp_cost,max_cost_col,cp_stim_cost,plug_life_cycle_cost,P_AveTOC,P_BVW,P_CAL,P_DRHO,P_DTC,P_DTS,P_EDYN,P_GR,P_GRKTH,P_NPHIL,P_PE,P_Phie,P_PhiT,P_POTA,P_PRDYN,P_RDEEP,P_RHOB,P_RMED,P_RMICRO,P_RSHAL,P_SwT,P_THOR,P_URAN,P_VAnhy,P_VClay,P_VDol,P_VGlau,P_VHalite,P_VHc,P_VLime,P_VPyrite,P_VQuartz,P_VTOC,P_VWater,P_VDol_VLime,REL_AVG_DIST_TOP,REL_MIN_DIST_TOP,REL_MAX_DIST_TOP,REL_STD_DIST_TOP,REL_AVG_ISO,REL_MIN_ISO,REL_MAX_ISO,REL_STD_ISO
ALTA 101AH,86054549.0,4238935407,ZP,2018-07-25 22:00:00,2018-08-03 09:30:00,2018,ALPINE,FOOTWALL B,UPPER WOODFORD,PUMPCO FLEET 2,4588.999,23.0,69.117391,77.0,9910.0,7034.7,331520.0,10094.1,0.0,31.018662875,-103.75353390041667,1915.2,8489.0,8.0,199.521696,"508""x5.5""",186692.0,195247.0,40.6825105,72.24233433,1801.73913,1014.630435,0.3756379946,1.0,0.9204780241667774,0.06831496481210994,91.73913043478261,0.6232013189767743,188275.0,,2018-12-09,5855.145,153019.481,262229.141,43704.856838,49560.001838,2018-12-12,5920.958,154392.56,267810.853,44635.142171,50556.100171,2442575.69,2300000.0,2267143.5,2442575.69,SAP,2038136.8308672977,18347.0,6.809326067840633,0.0004724013822643409,8.993955435552248,0.056531205437909265,80.32392353696127,141.0281972401556,4.1136753052846,335.91552385248934,30.32060778345087,0.1900555432004749,3.2737981583146207,0.0555936662210279,0.07577224918442241,0.9962193225090318,0.2754936699661015,390.45153284819605,2.372008974153835,,,282.04070954755935,0.15099517769444085,4.4193232187291915,41.298607660297215,0.0,0.12603857525922565,0.0002701821732526419,0.0,0.0,0.0,0.0008330871765724195,0.03750666762397421,0.6507174521651174,0.1290401367509019,0.00033759894427649043,0.0011032693498250613,126.34009681514314,71.89209999999758,169.08719999998658,32.583030088008975,276.8984131140397,268.29390000000365,292.96050000002435,7.824484841388926
ALTA 103BH,153457550.0,4238937121,ZP,2018-07-26 01:30:00,2018-08-03 12:45:00,2018,ALPINE,FOOTWALL B,MIDDLE WOODFORD,PUMPCO FLEET 2,4616.001,23.0,69.156522,77.0,9900.0,6480.7,8068740.0,10631.1,0.0,31.018829141304348,-103.75231247782608,2027.8,8556.0,8.043478260869565,200.695696,"508""x5.5""",186913.0,196788.0,40.49240891,1747.99355546,43614.81081081081,1010.3405405405406,0.3738190378378378,1.0,0.988725474591199,0.0,92.3913043478261,0.628760481672725,188478.0,,2018-12-13,5811.781,131626.625,172270.752,28711.792001,34523.573001,2018-12-16,5921.901,132238.718,175536.836,29256.139335,35178.040335,2242674.32,2350000.0,2156846.7,2350000.0,ENGINEER ESTIMATE,1866033.1545485,15269.130435,5.687440129882102,0.0007696998201103719,9.075280811217912,0.008857611901933975,78.64942715077702,123.19117209335913,4.905212552567648,286.1754900258691,55.61745288632715,0.1835707010565204,3.1088843614960027,0.0431012646012026,0.07121043435634991,1.951865707402471,0.1488869484101024,109.3197353617239,2.397414499787464,,,82.18333479669556,0.3261828112439783,7.453999437229056,31.273019416860503,0.0,0.17573320123637878,0.0020536227349887814,0.0,0.0,0.0,0.008022897342838849,0.02686474785403897,0.6364607674668056,0.10778120075349654,0.0006623909518706831,0.01007652007782763,201.51505182709172,166.50989999998413,232.3680000000115,21.60872214060051,276.4118733555957,259.6913999999911,289.13669999998694,8.009343089980398
ALTA 113AH,153461573.0,4238937816,ZP,2019-04-07 10:30:00,2019-04-19 17:30:00,2019,ALPINE,FOOTWALL B,UPPER WOODFORD,LEGEND FLEET 3,6909.0,36.0,79.852778,86.2,10627.0,7419.9,13729920.0,10353.7,0.0,31.02810308277778,-103.76345585805555,1967.5,9290.666667,7.8108108108108105,191.916667,"508""x5.5""",319464.0,334464.0,46.238819,1987.251411,48828.05074971165,1136.1176470588234,0.2839823900422914,1.0,0.90163384132758,0.09752696112836975,45.833333333333336,0.532647868506625,19053.0,308641.0,2019-09-09,7539.344,238640.195,253001.469,42166.9115,49706.2555,2019-09-09,7539.344,238640.195,253001.469,42166.9115,49706.2555,2694831.73,2800000.0,2719851.62,2800000.0,ENGINEER ESTIMATE,2325235.9023908,7942.257143,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,0.0,70.14672510208034,-44.71620000000158,147.98600000001142,58.5502892910153,282.7437813318689,249.09079999995777,308.447799999986,15.679800552213127
ALTA 114AH,153461590.0,4238937818,ZP,2019-04-07 14:30:00,2019-04-18 21:00:00,2019,ALPINE,FOOTWALL B,UPPER WOODFORD,LEGEND FLEET 3,6540.0,34.0,79.279412,83.3,10474.0,7576.4,12848883.0,10320.9,0.0,31.02892834147059,-103.76515163205882,1838.7,9768.5,7.8,192.352941,"508""x5.5""",322497.0,332129.0,49.311468,1964.661009,48449.785068,1216.052036,0.29894197587,1.0,0.8456202693358388,0.15344948945261505,60.0,0.5320870137297232,,322497.0,2019-09-09,10996.049,284582.676,309529.699,51588.283169,62584.332169,2019-09-09,10996.049,284582.676,309529.699,51588.283169,62584.332169,2668793.8,2650000.0,2566940.1,2668793.8,SAP,2163209.218592045,6535.835758,6.084647131191501,0.0010493036591513998,9.228331461124947,0.014227642280944404,76.22250517500903,116.3105614372403,5.390160664059271,354.3521054241233,36.96245245133026,0.15891843843207612,2.792833272176129,0.038828175696342684,0.05295716246388117,1.1551748234014207,0.12301893010805175,539.9235803632595,2.4036875274764014,,,578.1834031969668,0.1990452391686993,5.123725420319238,39.781408493425566,0.0,0.11771784977000002,0.0,0.0,0.0,0.03788875062823915,0.03300120006144778,0.01770758610657919,0.6793284959596771,0.11342409333557055,0.0009422787219221352,0.03300120006144778,45.849728375765245,-105.9882000000129,135.96959999998452,71.72051349159656,299.14281598925584,267.3422999999666,331.9986000000369,18.15329187375023
ALTA 201AH,86216329.0,4238935408,P,2016-12-19 15:45:00,2016-12-31 11:30:00,2016,ALPINE,FOOTWALL B,UPPER BARNETT,PUMPCO FLEET 5,3893.999,20.0,72.9545,81.0,9430.0,7892.3,7088990.0,9970.8,0.0,31.018967769,-103.75247005,2455.0,9488.05,7.842105263157895,194.69995,"508""x5""",179793.0,189761.0,46.17181463,1820.49096571,45198.25838926175,1146.3312080536912,0.46514614093959733,0.9438989808300036,0.9896763039516355,0.0,93.75,0.5317842839996327,,,2017-05-10,3001.444,80418.0,30489.0,5081.499997,8082.943997,2017-05-10,3001.444,80418.0,30489.0,5081.499997,8082.943997,2053318.94,,1348666.05,2053318.94,SAP,1578378.241688591,13466.358421,3.559228059159369,0.0003083405346538429,9.004161909276503,0.013364198664076912,79.2999531576596,126.3693892617589,4.973470701995264,163.78954511240312,67.71743192262299,0.1831034742065824,2.9208484323647563,0.03700799367607169,0.06868533719384322,2.099037590288348,0.1849222049929656,70.66335935196005,2.478314072117773,,,52.89811756454586,0.3887783005961174,9.285746883832203,12.242631875947644,0.0,0.21128285801992525,0.07260210278006562,0.0,0.0,0.0,0.0,0.017241689836211816,0.5923113515005363,0.06956641871249983,0.00030168594308270806,0.07260210278006562,96.96188618516408,56.00659999999538,149.90969999999965,22.76701008937886,421.4591237518339,399.9209000000219,443.8326000000277,14.573610365892423
ASH UNIT 101AH,153452150.0,4238936234,P,2017-12-18 02:30:00,2018-01-01 05:45:00,2017,ALPINE,NORTHERN HORST,UPPER WOODFORD,PUMPCO FLEET 5,6969.0,34.0,70.255882,78.0,9430.0,6141.7,10830804.0,11266.5,0.0,31.287458651176472,-103.8124474982353,1983.8,10113.235294,8.0,204.970588,"508""x5.5""",330165.0,343850.0,47.376238,1554.140336,39819.132353,1213.841912,0.2582936838,0.8596334046063757,0.9556008449614709,0.03455118859897058,97.3529411764706,0.5122088980337823,336110.0,,2018-05-05,,146105.0,4355.0,725.833331,725.833331,2018-07-22,,321477.393,191496.226,31916.037665,31916.037665,3640023.22,3625000.0,3384505.37,3640023.22,SAP,3362115.5402641464,17936.779412,6.192770763191838,0.005123109743329978,9.000468613290002,-0.0025547253071566828,78.6344669973613,122.59687628030672,4.920648870627487,410.8006341752903,46.00780706536146,0.1813039560902385,3.1172615865222384,0.045699809962212026,0.062230860412695585,1.3494517618012036,0.1499954398672828,161.70928124025713,2.3788409851902688,163.26189302387908,,163.94022485037829,0.33710813032325226,7.072254533923407,46.905014749502286,0.0,0.13773772318628685,0.0017351136726867465,0.0,0.0,0.041016019012345264,0.12618443275016955,0.010942816410103874,0.5596009606667767,0.11808941426091925,0.004678256697657392,0.1279195464228563,12.97546235162515,-30.372000000002508,73.68030000000635,28.527455205701415,349.7999484708596,332.11819999995805,373.78910000002105,11.661663014702588
ASH UNIT 102BH,153455753.0,4238936669,P,2018-05-05 08:30:00,2018-05-14 06:15:00,2018,ALPINE,NORTHERN HORST,MIDDLE WOODFORD,PUMPCO FLEET 2,7154.0,36.0,77.213889,83.0,10400.0,7318.1,10864180.0,10765.7,0.0,31.286971003157895,-103.81145600552631,2136.1,8785.694444,8.0,198.722222,"508""x5.5""",303735.0,316285.0,42.456668,1518.616159,37722.847222,1054.635417,0.2681037813,0.9249603252064799,0.7978032492512567,0.1908066767591373,96.55555555555556,0.5151683881482,305178.0,,2018-09-19,,343000.157,606771.494,101128.582331,101128.582331,2018-09-20,,345349.157,616996.44,102832.739998,102832.739998,3500831.35,3400000.0,3374056.61,3500831.35,SAP,2931023.592579709,13546.314286,4.4840476570197945,0.0004991502244651588,9.004751211175302,-0.006518973397168245,75.18135485449446,120.23468410915713,5.454205482698927,336.6689959879699,58.987743018825796,0.1867855846386099,3.620705544786807,0.015784198804497825,0.04441183769293711,1.7756003779622946,0.1786617829366123,154.97576585235737,2.4759754511356022,155.18143950926085,,155.19198971559547,0.5842019313329785,9.060294069000504,36.135704635479726,0.0,0.2386368460427898,0.0019441622606125454,0.0,0.0,0.01539278704724664,0.226004251967334,0.00821821426328657,0.4202182288121628,0.08919512646266076,0.00038714521549702385,0.2279484142279466,91.12405106088617,57.81880000000473,139.54839999999317,19.02856323924868,347.24495005513546,328.83110000002955,373.1592000000661,10.504626748928334
ASH UNIT 401AH,153459750.0,4238937446,P,2018-11-08 18:45:00,2018-11-16 06:30:00,2018,ALPINE,PARASEQUENCE - NORTHERN HORST,UPPER WOLFCAMP,LEGEND FLEET 4,7166.001,36.0,78.285833,84.1,10445.0,6003.6,15434760.0,9234.7,0.0,31.287338524722223,-103.80568033222222,1778.5,9536.027778,8.0,199.055583,"508""x5.5""",326770.0,343297.0,45.60004946,2153.88750295,53592.916667,1134.618056,0.271825809,1.0,0.9974564443538396,0.0,22.52777777777778,0.6708499900730369,42053.0,276792.0,2019-03-26,13175.263,246290.0,653389.169,108898.194834,122073.457834,2019-03-26,13175.263,246290.0,653389.169,108898.194834,122073.457834,3068144.87,3250000.0,2980726.6,3250000.0,ENGINEER ESTIMATE,2558444.290025,13244.0,2.118916725788333,0.005890700311278291,12.270742251533944,0.0022115657884420182,76.89630939229815,125.12036591806157,5.263251536964399,102.27890100852088,57.55246609898175,0.14422187983606566,3.5309339521797005,0.043534664177354784,0.07206291581027327,1.6177241728297476,0.1958660780876432,65.27424979457318,2.547715837401599,,,30.78548131673501,0.4817832765077712,8.965286549361716,7.642117750010215,0.0,0.19020118676362413,0.0,0.0,0.0,0.03782797867425842,0.2865675192819508,0.02224386696376892,0.41930976798246294,0.038134291321872384,0.005713129060346036,0.2865675192819508,18.964178249009706,-63.75130000000328,108.83779999998707,56.31421673164351,932.8672972042817,798.3770000000578,1195.0453000001264,66.4802751609972
ASPEN STATE 101AH,153449750.0,4238935805,P,2017-09-15 07:00:00,2017-09-22 03:15:00,2017,ALPINE,NORTHERN TROUGH,UPPER WOODFORD,PUMPCO FLEET 2,4583.999,22.0,61.572727,72.0,9940.0,9226.2,9374326.0,14257.2,0.0,31.270023672727273,-104.02571030454546,4379.1,11938.590909,7.863636363636363,208.363591,"508""x5.5""",256034.0,262649.0,55.85385163,2045.01048102,54186.85549132948,1479.9653179190752,0.35591171676300576,0.893254619052079,0.18183913074044852,0.8102517634376685,92.04545454545455,0.5311056604909785,62359.0,193675.0,2018-01-25,,135557.0,524515.0,87419.166664,87419.166664,2018-01-26,,135845.0,530320.8,88386.799997,88386.799997,3497115.2,3474000.0,3277791.97,3497115.2,SAP,2893648.5865710727,25868.352381,5.083679306253253,0.0030048497253799588,7.9600601172566465,-0.001622867842616036,77.01660679022629,119.48288104923188,5.271550328954249,293.25480970718775,42.06679045018654,0.15163238816754784,3.714095774283284,0.023092606195352684,0.04334793562032503,1.4008503652289253,0.14291782716229834,155.72277848772413,2.4357122154590622,165.20182704495622,,155.17307429015545,0.5074158762236274,6.155037110506548,33.95890833831583,0.0,0.1689228476273167,0.0,0.0,0.0,0.020372821495055187,0.1386440802732025,0.005760595321958639,0.5652729696653814,0.0983114538452248,0.0027134908432381285,0.1386440802732025,1.14874377358499,-97.92129999999126,67.2958000000024,46.45650007262247,381.5447801467805,371.26570000003755,393.7206999999632,6.7924629854497205
ASPEN STATE 201BR,153459092.0,4238937439,ZP,2018-12-05 20:30:00,2018-12-19 05:45:00,2018,ALPINE,NORTHERN TROUGH,MIDDLE BARNETT,PUMPCO FLEET 2,4628.999,37.0,62.748649,72.0,10710.0,9305.5,7051020.0,13776.1,0.0,31.268623447297298,-104.02592108216216,4538.4,5851.108108,6.0,125.108081,"508""x5.5""",207681.0,216491.0,44.86520736,1523.227808,31761.351351,935.5,0.2826515721,1.0,0.9985587455321111,0.0,18.75,0.7540589902747709,24540.0,183612.0,2019-05-03,,96467.848,399230.903,66538.483834,66538.483834,2019-05-09,,98276.363,424817.147,70802.857834,70802.857834,2395398.4,2370000.0,2296096.0,2395398.4,SAP,2050489.008653312,15842.666667,4.554851953001711,0.004412110351649343,7.89812317511503,0.005471297524904309,82.33269113944463,128.13955739988765,4.561340764242005,149.55587220983952,55.12600744305364,0.1846297357407164,3.141775038145308,0.04056905144951645,0.06415647377193807,1.6985457780395854,0.1482922181392234,110.73622107565485,2.430781703283422,143.52462896797516,,116.465006480618,0.431448875042482,8.663639816458474,12.539758577214931,0.0,0.19657445231764656,0.0,0.0,0.0,0.036392399809916966,0.02717694682793609,0.015027127923465425,0.6324516277648377,0.08819714913904719,0.0041792200269118035,0.02717694682793609,221.62203982667745,178.28940000000705,245.05779999998944,18.488070108918226,551.3256767643593,535.3955999999667,566.5791000000313,9.168947524815803
